Sınıf;Ad Soyad;T.C.;Şifre
9-A Sayısal;Ege Yıldız;31111111101;123456
9-A Sayısal;Defne Öztürk;31111111102;123456
9-A Sayısal;Yiğit Avcı;31111111103;123456
9-A Sayısal;Ecrin Demir;31111111104;123456
9-A Sayısal;Arda Erdoğan;31111111105;123456
9-A Sayısal;Zeynep Yıldız;31111111106;123456
9-A Sayısal;Emir Öztürk;31111111107;123456
9-A Sayısal;Elif Avcı;31111111108;123456
9-A Sayısal;Kerem Demir;31111111109;123456
9-A Sayısal;Ayşe Erdoğan;31111111110;123456
9-A Sözel;Berk Polat;31111111111;123456
9-A Sözel;Nisan Güneş;31111111112;123456
9-A Sözel;Can Çelik;31111111113;123456
9-A Sözel;Melisa Kara;31111111114;123456
9-A Sözel;Baran Koç;31111111115;123456
9-A Sözel;Sude Polat;31111111116;123456
9-A Sözel;Alp Güneş;31111111117;123456
9-A Sözel;İrem Çelik;31111111118;123456
9-A Sözel;Mert Kara;31111111119;123456
9-A Sözel;Duru Koç;31111111120;123456
9-A Eşit Ağırlık;Ege Yıldız;31111111121;123456
9-A Eşit Ağırlık;Defne Öztürk;31111111122;123456
9-A Eşit Ağırlık;Yiğit Avcı;31111111123;123456
9-A Eşit Ağırlık;Ecrin Demir;31111111124;123456
9-A Eşit Ağırlık;Arda Erdoğan;31111111125;123456
9-A Eşit Ağırlık;Zeynep Yıldız;31111111126;123456
9-A Eşit Ağırlık;Emir Öztürk;31111111127;123456
9-A Eşit Ağırlık;Elif Avcı;31111111128;123456
9-A Eşit Ağırlık;Kerem Demir;31111111129;123456
9-A Eşit Ağırlık;Ayşe Erdoğan;31111111130;123456
9-A Dil;Berk Polat;31111111131;123456
9-A Dil;Nisan Güneş;31111111132;123456
9-A Dil;Can Çelik;31111111133;123456
9-A Dil;Melisa Kara;31111111134;123456
9-A Dil;Baran Koç;31111111135;123456
9-A Dil;Sude Polat;31111111136;123456
9-A Dil;Alp Güneş;31111111137;123456
9-A Dil;İrem Çelik;31111111138;123456
9-A Dil;Mert Kara;31111111139;123456
9-A Dil;Duru Koç;31111111140;123456
9-B Sayısal;Ege Yıldız;31111111141;123456
9-B Sayısal;Defne Öztürk;31111111142;123456
9-B Sayısal;Yiğit Avcı;31111111143;123456
9-B Sayısal;Ecrin Demir;31111111144;123456
9-B Sayısal;Arda Erdoğan;31111111145;123456
9-B Sayısal;Zeynep Yıldız;31111111146;123456
9-B Sayısal;Emir Öztürk;31111111147;123456
